customer_id,customer_name,total_sessions,total_revenue,churn_risk
31080,Daniel Jennings,0,4894.12,Active
15622,Carol Diaz,0,2430.99,Active
63423,Jesse Floyd,0,3888.58,Active
54418,John Brewer,0,0.0,High Risk
4300,Pamela Dodson,0,1477.81,Active
39985,Robert Jones,0,0.0,High Risk
97029,Daniel Harris,0,0.0,High Risk
9793,Michael Osborne,0,0.0,High Risk
39344,Zachary Walker Md,0,0.0,High Risk
34236,Andrea Whitehead,0,0.0,High Risk
99435,Jamie Weber,0,0.0,High Risk
1293,Kathryn Gates,0,0.0,High Risk
76027,Kristie Young,0,0.0,High Risk
78556,Steven Thompson,0,0.0,High Risk
36375,Donald Boyd,0,0.0,High Risk
38196,Erin Gibbs,0,0.0,High Risk
10412,Kathleen Parker,0,0.0,High Risk
4198,Lori Owens,0,0.0,High Risk
11234,Ronald King,0,0.0,High Risk
98381,Derek Jones,0,0.0,High Risk
60563,Gabriel Robinson,0,0.0,High Risk
43113,John Buck,0,0.0,High Risk
77586,Laura Taylor,0,0.0,High Risk
15488,Melissa Walker,0,0.0,High Risk
6920,Albert Dickson,0,0.0,High Risk
92980,Christian Hughes,0,0.0,High Risk
24056,Joseph Morales,0,0.0,High Risk
44375,Marcus Yang,0,0.0,High Risk
29739,Tammy George,0,0.0,High Risk
13237,Laura Stone,0,0.0,High Risk
56378,Luis Rodriguez,0,0.0,High Risk
96565,Mary Miles,0,0.0,High Risk
7388,Brittney Johnson,0,0.0,High Risk
58939,Carolyn Hall,0,0.0,High Risk
56818,Kenneth Jackson,0,0.0,High Risk
23706,Patrick Bauer,0,0.0,High Risk
92455,William Peck,0,0.0,High Risk
77502,Amy Grant,0,0.0,High Risk
69334,Jennifer Graham,0,0.0,High Risk
53619,Jerry White,0,0.0,High Risk
6250,Kevin Lane,0,0.0,High Risk
64075,Melissa Chase,0,0.0,High Risk
78736,Brett Coleman,0,0.0,High Risk
25673,Christine Hensley,0,0.0,High Risk
15982,John Hernandez,0,0.0,High Risk
2450,Kenneth Williams,0,0.0,High Risk
91685,Andrew Gray,0,0.0,High Risk
15078,Carolyn Butler,0,0.0,High Risk
88030,Jamie Smith,0,0.0,High Risk
50604,Lori Hall,0,0.0,High Risk
38779,Melissa Walker,0,0.0,High Risk
56090,James Garcia,0,0.0,High Risk
66681,James Levy Jr.,0,0.0,High Risk
8015,Kurt Herrera,0,0.0,High Risk
22462,Lance Martinez,0,0.0,High Risk
88004,Tracey Gonzalez,0,0.0,High Risk
42616,Daniel Rodriguez,0,0.0,High Risk
73492,Elizabeth Ballard,0,0.0,High Risk
62934,Joanne Smith,0,0.0,High Risk
1552,Steven Henry,0,0.0,High Risk
13089,Travis Gallagher,0,0.0,High Risk
35735,Vicki King,0,0.0,High Risk
41069,Bianca Boyd,0,0.0,High Risk
72154,Jill Goodwin,0,0.0,High Risk
20708,Kimberly Goodman,0,0.0,High Risk
53880,Paula Knox,0,0.0,High Risk
85014,Stacy Smith,0,0.0,High Risk
30275,Blake Johnson,0,0.0,High Risk
31219,James Porter,0,0.0,High Risk
50627,Sara Bates,0,0.0,High Risk
77492,Tasha Shaw,0,0.0,High Risk
81629,Elizabeth Walls,0,0.0,High Risk
95934,Lisa Browning,0,0.0,High Risk
90763,Nathan Martinez,0,0.0,High Risk
45107,Nicholas Bailey,0,0.0,High Risk
67336,Paul Griffin,0,0.0,High Risk
13748,Rhonda Burton,0,0.0,High Risk
61065,Tanya Cunningham,0,0.0,High Risk
2544,Alexis Wright,0,0.0,High Risk
14436,Christopher Mccarthy,0,0.0,High Risk
94756,Kenneth Fox,0,0.0,High Risk
99973,Crystal Weaver,0,0.0,High Risk
9955,Karen Lopez,0,0.0,High Risk
33437,Samuel Johnson,0,0.0,High Risk
22729,Abigail Maldonado,0,0.0,High Risk
46753,David Reid,0,0.0,High Risk
62418,Mrs. Jessica Young,0,0.0,High Risk
72814,Sara Cameron,0,0.0,High Risk
36881,David Arnold,0,0.0,High Risk
93880,Heather Mccoy Dds,0,0.0,High Risk
35491,Lisa Flores,0,0.0,High Risk
41508,Lori Morales Dds,0,0.0,High Risk
1770,Robert Brown,0,0.0,High Risk
90601,Deborah Miller,0,0.0,High Risk
24642,James Santiago,0,0.0,High Risk
65691,Jodi Brown,0,0.0,High Risk
43648,Nathan Brown,0,0.0,High Risk
78681,Sean Daniels,0,0.0,High Risk
49839,Anna Jones,0,0.0,High Risk
77423,Douglas Wolfe,0,0.0,High Risk
68969,Mary Walker,0,0.0,High Risk
