customer_id,customer_name,total_revenue,customer_segment
93297,Susan Griffin,598609852.6999986,High Value
39277,Katherine Larson Md,148865496.6900003,High Value
94671,Lori Dominguez,90231831.66000013,High Value
50819,Michelle Davis,86616738.56999981,High Value
22076,Robert Randall,85420508.12000006,High Value
12412,William Black Jr.,84165749.78999986,High Value
58317,Katherine Wu,75536173.4400001,High Value
440,Jenna Shea,61906639.63000001,High Value
27751,James Sloan,61702589.17999998,High Value
95553,Carol Griffin,56343304.60999995,High Value
96289,Carla Green,55553388.18000001,High Value
57159,Vicki Crawford,55007109.69999994,High Value
45355,Chelsea Sullivan,45501917.10999997,High Value
95322,Lindsay Edwards,35821703.27000002,High Value
59659,Michael Smith,32661986.010000035,High Value
23932,April Weaver,31048589.169999994,High Value
30585,Tonya Gross,29892144.679999992,High Value
11661,Scott Sellers,29807765.870000012,High Value
76803,Charles Price,29625229.959999997,High Value
98146,Christian Parker,25365353.759999976,High Value
3798,David Smith,24608890.67000001,High Value
57315,Randall Alvarez,23784687.310000002,High Value
55756,Todd Wilson,23570500.659999993,High Value
74100,Thomas Sellers,23091329.599999987,High Value
31685,Charles Brown,20002559.65,High Value
48845,Leslie Gould,18807434.459999997,High Value
54589,Regina Fisher,18204591.46999999,High Value
46798,William Mendoza,16318267.750000007,High Value
9582,John Camacho,16127549.68,High Value
7615,Meghan Rivera,15691411.149999991,High Value
39616,David Duran,14994101.530000009,High Value
36600,Carolyn Weber,14543812.470000004,High Value
21294,Adam Perkins,14296549.510000005,High Value
65175,Tammy Davis,14019895.939999986,High Value
97501,Catherine Martin,13954662.790000007,High Value
41217,Kimberly Hall,13465233.379999999,High Value
38844,Allison Arnold,13385447.89,High Value
50954,Brian Valdez,13041365.519999998,High Value
91966,Kari Le,12997346.120000005,High Value
72593,Deborah Ashley,12437040.199999997,High Value
43395,Colton Ruiz,12418042.450000003,High Value
82309,Elizabeth Black,12109266.280000009,High Value
72073,Craig Larsen,12030380.360000003,High Value
14580,Jennifer Harper,11942202.420000006,High Value
95313,Micheal Edwards,11877182.560000002,High Value
66483,Heidi Mitchell Dds,11566169.599999994,High Value
64675,Raven Moyer,11378667.629999995,High Value
38331,Jennifer Burke,11200105.250000004,High Value
19482,Melissa Foster,10448673.139999999,High Value
37814,Sandra Sloan,10373871.16,High Value
93086,Christopher King,10216249.669999994,High Value
85143,Amy Holt,9849352.189999998,High Value
52859,Sarah Mata,9645193.32999999,High Value
15844,Daniel Lee,9602286.18,High Value
12718,Kathryn Alexander,9576970.080000002,High Value
23145,Dustin Craig,9056184.240000006,High Value
55659,Emily Barrett,8959839.079999998,High Value
94917,Cody Collins,8907815.589999998,High Value
37751,Carolyn Daniel,8457044.779999997,High Value
94410,Timothy Hammond,8177133.510000005,High Value
88643,Amy Patel,8156972.23,High Value
55305,Michael Mosley,8074807.720000003,High Value
63493,Elizabeth Delacruz,7847075.760000002,High Value
405,James Brown Dds,7818648.139999997,High Value
84383,Lauren Morris,7515837.160000006,High Value
96508,Thomas Rodgers,6866060.2399999965,High Value
85860,Joseph Johnson,6824583.03,High Value
82906,Paul Stewart,6804090.769999998,High Value
46670,Paula Russell,6694523.140000001,High Value
54048,Melissa Martin,6455318.830000003,High Value
71137,Robert Rogers,6442686.010000003,High Value
42015,Jonathan Sullivan,6364837.029999995,High Value
53982,Michael Mcpherson,6291868.859999998,High Value
42718,Ryan Carney,6257934.099999998,High Value
39343,Rebecca Scott,6212464.170000002,High Value
66485,Victoria Hernandez,6070154.210000001,High Value
35265,Tiffany Hernandez,6028687.079999998,High Value
90025,James Lopez,5867609.140000002,High Value
14831,Glen Roy,5807940.4,High Value
